Randomizer Version: 4.6.0
Random Seed: 8190105131538
Settings String: 321YQgEATL8AP8AAgEEAAIeAxgIFAAAFAA+AQABEgAAAAAABAAYMtkyAQAICTIGBAAyAAUAC0VtZXJhbGQgKFUp/oaDOOPDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
 61|POLIWHIRL    |WATER            |  65|  65|  65|  50|  50|  90|WATER ABSORB|DAMP        |
 62|POLIWRATH    |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|WATER ABSORB|DAMP        |CHOICE BAND (rare)
 63|ABRA         |PSYCHIC          |  25|  20|  15| 105|  55|  90|SYNCHRONIZE |INNER FOCUS |SEA INCENSE (rare)
 64|KADABRA      |PSYCHIC          |  40|  35|  30| 120|  70| 105|SYNCHRONIZE |INNER FOCUS |
 65|ALAKAZAM     |PSYCHIC          |  55|  50|  45| 135|  85| 120|SYNCHRONIZE |INNER FOCUS |LEMONADE (common), LEAF STONE (rare)
 66|MACHOP       |FIGHTING         |  70|  80|  50|  35|  35|  35|GUTS        |-------     |
 67|MACHOKE      |FIGHTING         |  80| 100|  70|  50|  60|  45|GUTS        |-------     |SHOAL SALT (common), TIMER BALL (rare)
 68|MACHAMP      |FIGHTING         |  90| 130|  80|  65|  85|  55|GUTS        |-------     |X ATTACK (100%)
 69|BELLSPROUT   |GRASS/POISON     |  50|  75|  35|  70|  30|  40|CHLOROPHYLL |-------     |
 70|WEEPINBELL   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|CHLOROPHYLL |-------     |WHITE FLUTE (common), PREMIER BALL (rare)
 71|VICTREEBEL   |GRASS/POISON     |  80| 105|  65| 100|  60|  70|CHLOROPHYLL |-------     |DRAGON FANG (common), TM13 (rare)
 72|TENTACOOL    |WATER/POISON     |  40|  40|  35|  50| 100|  70|CLEAR BODY  |LIQUID OOZE |ZINC (common), REPEL (rare)
 73|TENTACRUEL   |WATER/POISON     |  80|  70|  65|  80| 120| 100|CLEAR BODY  |LIQUID OOZE |
 74|GEODUDE      |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|ROCK HEAD   |STURDY      |
 75|GRAVELER     |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|ROCK HEAD   |STURDY      |YELLOW SHARD (common)
 76|GOLEM        |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|ROCK HEAD   |STURDY      |SMOKE BALL (common), DRAGON FANG (rare)
 77|PONYTA       |FIRE             |  50|  85|  55|  65|  65|  90|RUN AWAY    |FLASH FIRE  |TM04 (100%)
 78|RAPIDASH     |FIRE             |  65| 100|  70|  80|  80| 105|RUN AWAY    |FLASH FIRE  |
 79|SLOWPOKE     |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|OBLIVIOUS   |OWN TEMPO   |TM49 (common), NET BALL (rare)
 80|SLOWBRO      |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|OBLIVIOUS   |OWN TEMPO   |
 81|MAGNEMITE    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|MAGNET PULL |STURDY      |
 82|MAGNETON     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|MAGNET PULL |STURDY      |
 83|FARFETCH’D   |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|KEEN EYE    |INNER FOCUS |
 84|DODUO        |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|RUN AWAY    |EARLY BIRD  |
 85|DODRIO       |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|RUN AWAY    |EARLY BIRD  |
 86|SEEL         |WATER            |  65|  45|  55|  45|  70|  45|THICK FAT   |-------     |ENERGY ROOT (rare)
 87|DEWGONG      |WATER/ICE        |  90|  70|  80|  70|  95|  70|THICK FAT   |-------     |
 88|GRIMER       |POISON           |  80|  80|  50|  40|  50|  25|STENCH      |STICKY HOLD |
 89|MUK          |POISON           | 105| 105|  75|  65| 100|  50|STENCH      |STICKY HOLD |PEARL (common)
 90|SHELLDER     |WATER            |  30|  65| 100|  45|  25|  40|SHELL ARMOR |-------     |HYPER POTION (common)
 91|CLOYSTER     |WATER/ICE        |  50|  95| 180|  85|  45|  70|SHELL ARMOR |-------     |TM34 (rare)
 92|GASTLY       |GHOST/POISON     |  30|  35|  30| 100|  35|  80|LEVITATE    |-------     |LEMONADE (common), SAFARI BALL (rare)
 93|HAUNTER      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|LEVITATE    |-------     |
 94|GENGAR       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|LEVITATE    |-------     |
 95|ONIX         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|ROCK HEAD   |STURDY      |TM39 (rare)
 96|DROWZEE      |PSYCHIC          |  60|  48|  45|  43|  90|  42|INSOMNIA    |-------     |
 97|HYPNO        |PSYCHIC          |  85|  73|  70|  73| 115|  67|INSOMNIA    |-------     |TM26 (rare)
 98|KRABBY       |WATER            |  30| 105|  90|  25|  25|  50|HYPER CUTTER|SHELL ARMOR |
 99|KINGLER      |WATER            |  55| 130| 115|  50|  50|  75|HYPER CUTTER|SHELL ARMOR |
100|VOLTORB      |ELECTRIC         |  40|  30|  50|  55|  55| 100|SOUNDPROOF  |STATIC      |SOFT SAND (common), TM08 (rare)
101|ELECTRODE    |ELECTRIC         |  60|  50|  70|  80|  80| 140|SOUNDPROOF  |STATIC      |
102|EXEGGCUTE    |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|CHLOROPHYLL |-------     |
103|EXEGGUTOR    |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|CHLOROPHYLL |-------     |
104|CUBONE       |GROUND           |  50|  50|  95|  40|  50|  35|ROCK HEAD   |LIGHTNINGROD|
105|MAROWAK      |GROUND           |  60|  80| 110|  50|  80|  45|ROCK HEAD   |LIGHTNINGROD|MAX ELIXIR (common), QUICK CLAW (rare)
106|HITMONLEE    |FIGHTING         |  50| 120|  53|  35| 110|  87|LIMBER      |-------     |
107|HITMONCHAN   |FIGHTING         |  50| 105|  79|  35| 110|  76|KEEN EYE    |-------     |
108|LICKITUNG    |NORMAL           |  90|  55|  75|  60|  75|  30|OWN TEMPO   |OBLIVIOUS   |UP-GRADE (common)
109|KOFFING      |POISON           |  40|  65|  95|  60|  45|  35|LEVITATE    |-------     |
110|WEEZING      |POISON           |  65|  90| 120|  85|  70|  60|LEVITATE    |-------     |
111|RHYHORN      |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|LIGHTNINGROD|ROCK HEAD   |SOOTHE BELL (common)
112|RHYDON       |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|LIGHTNINGROD|ROCK HEAD   |
113|CHANSEY      |NORMAL           | 250|   5|   5|  35| 105|  50|NATURAL CURE|SERENE GRACE|
114|TANGELA      |GRASS            |  65|  55| 115| 100|  40|  60|CHLOROPHYLL |-------     |CLEANSE TAG (common)
115|KANGASKHAN   |NORMAL           | 105|  95|  80|  40|  80|  90|EARLY BIRD  |-------     |SMOKE BALL (common), TM22 (rare)
116|HORSEA       |WATER            |  30|  40|  70|  70|  25|  60|SWIFT SWIM  |-------     |GUARD SPEC. (common), BLACK FLUTE (rare)
117|SEADRA       |WATER            |  55|  65|  95|  95|  45|  85|POISON POINT|-------     |TINYMUSHROOM (common)
118|GOLDEEN      |WATER            |  45|  67|  60|  35|  50|  63|SWIFT SWIM  |WATER VEIL  |
119|SEAKING      |WATER            |  80|  92|  65|  65|  80|  68|SWIFT SWIM  |WATER VEIL  |CALCIUM (rare)
120|STARYU       |WATER            |  30|  45|  55|  70|  55|  85|ILLUMINATE  |NATURAL CURE|
121|STARMIE      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|ILLUMINATE  |NATURAL CURE|GUARD SPEC. (common), PP MAX (rare)
122|MR. MIME     |PSYCHIC          |  40|  45|  65| 100| 120|  90|SOUNDPROOF  |-------     |
123|SCYTHER      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|SWARM       |-------     |
124|JYNX         |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|OBLIVIOUS   |-------     |MAGNET (100%)
125|ELECTABUZZ   |ELECTRIC         |  65|  83|  57|  95|  85| 105|STATIC      |-------     |
126|MAGMAR       |FIRE             |  65|  95|  57| 100|  85|  93|FLAME BODY  |-------     |ESCAPE ROPE (100%)
127|PINSIR       |BUG              |  65| 125| 100|  55|  70|  85|HYPER CUTTER|-------     |TM05 (100%)
128|TAUROS       |NORMAL           |  75| 100|  95|  40|  70| 110|INTIMIDATE  |-------     |LAVA COOKIE (rare)
129|MAGIKARP     |WATER            |  20|  10|  55|  15|  20|  80|SWIFT SWIM  |-------     |
130|GYARADOS     |WATER/FLYING     |  95| 125|  79|  60| 100|  81|INTIMIDATE  |-------     |ELIXIR (common)
131|LAPRAS       |WATER/ICE        | 130|  85|  80|  85|  95|  60|WATER ABSORB|SHELL ARMOR |ULTRA BALL (common), WHITE FLUTE (rare)
132|DITTO        |NORMAL           |  48|  48|  48|  48|  48|  48|LIMBER      |-------     |
133|EEVEE        |NORMAL           |  55|  55|  50|  45|  65|  55|RUN AWAY    |-------     |TM09 (common)
134|VAPOREON     |WATER            | 130|  65|  60| 110|  95|  65|WATER ABSORB|-------     |TM41 (rare)
135|JOLTEON      |ELECTRIC         |  65|  65|  60| 110|  95| 130|VOLT ABSORB |-------     |
136|FLAREON      |FIRE             |  65| 130|  60|  95| 110|  65|FLASH FIRE  |-------     |
137|PORYGON      |NORMAL           |  65|  60|  70|  85|  75|  40|TRACE       |-------     |REPEAT BALL (common)
138|OMANYTE      |ROCK/WATER       |  35|  40| 100|  90|  55|  35|SWIFT SWIM  |SHELL ARMOR |AWAKENING (common), TM06 (rare)
139|OMASTAR      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|SWIFT SWIM  |SHELL ARMOR |
140|KABUTO       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|SWIFT SWIM  |BATTLE ARMOR|
141|KABUTOPS     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|SWIFT SWIM  |BATTLE ARMOR|
142|AERODACTYL   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|ROCK HEAD   |PRESSURE    |ELIXIR (rare)
143|SNORLAX      |NORMAL           | 160| 110|  65|  65| 110|  30|IMMUNITY    |THICK FAT   |TM18 (common), FULL HEAL (rare)
144|ARTICUNO     |ICE/FLYING       |  90|  85| 100|  95| 125|  85|PRESSURE    |-------     |
145|ZAPDOS       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|PRESSURE    |-------     |REPEAT BALL (common)
146|MOLTRES      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|PRESSURE    |-------     |TM50 (rare)
147|DRATINI      |DRAGON           |  41|  64|  45|  50|  50|  50|SHED SKIN   |-------     |
148|DRAGONAIR    |DRAGON           |  61|  84|  65|  70|  70|  70|SHED SKIN   |-------     |
149|DRAGONITE    |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|INNER FOCUS |-------     |SMOKE BALL (rare)
150|MEWTWO       |PSYCHIC          | 106| 110|  90| 154|  90| 130|PRESSURE    |-------     |
151|MEW          |PSYCHIC          | 100| 100| 100| 100| 100| 100|SYNCHRONIZE |-------     |NET BALL (100%)
152|CHIKORITA    |GRASS            |  45|  49|  65|  49|  65|  45|OVERGROW    |-------     |
153|BAYLEEF      |GRASS            |  60|  62|  80|  63|  80|  60|OVERGROW    |-------     |
154|MEGANIUM     |GRASS            |  80|  82| 100|  83| 100|  80|OVERGROW    |-------     |TIMER BALL (rare)
155|CYNDAQUIL    |FIRE             |  39|  52|  43|  60|  50|  65|BLAZE       |-------     |
156|QUILAVA      |FIRE             |  58|  64|  58|  80|  65|  80|BLAZE       |-------     |LEMONADE (common)
157|TYPHLOSION   |FIRE             |  78|  84|  78| 109|  85| 100|BLAZE       |-------     |
158|TOTODILE     |WATER            |  50|  65|  64|  44|  48|  43|TORRENT     |-------     |SHOAL SALT (rare)
159|CROCONAW     |WATER            |  65|  80|  80|  59|  63|  58|TORRENT     |-------     |
160|FERALIGATR   |WATER            |  85| 105| 100|  79|  83|  78|TORRENT     |-------     |DIRE HIT (common), SUPER REPEL (rare)
161|SENTRET      |NORMAL           |  35|  46|  34|  35|  45|  20|RUN AWAY    |KEEN EYE    |
162|FURRET       |NORMAL           |  85|  76|  64|  45|  55|  90|RUN AWAY    |KEEN EYE    |TM24 (common)
163|HOOTHOOT     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|INSOMNIA    |KEEN EYE    |
164|NOCTOWL      |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|INSOMNIA    |KEEN EYE    |
165|LEDYBA       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|SWARM       |EARLY BIRD  |
166|LEDIAN       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|SWARM       |EARLY BIRD  |
167|SPINARAK     |BUG/POISON       |  40|  60|  40|  40|  40|  30|SWARM       |INSOMNIA    |SITRUS BERRY (common), TM27 (rare)
168|ARIADOS      |BUG/POISON       |  70|  90|  70|  60|  60|  40|SWARM       |INSOMNIA    |
169|CROBAT       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|INNER FOCUS |-------     |
170|CHINCHOU     |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|VOLT ABSORB |ILLUMINATE  |
171|LANTURN      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|VOLT ABSORB |ILLUMINATE  |
172|PICHU        |ELECTRIC         |  20|  40|  15|  35|  35|  60|STATIC      |-------     |
173|CLEFFA       |NORMAL           |  50|  25|  28|  45|  55|  15|CUTE CHARM  |-------     |
174|IGGLYBUFF    |NORMAL           |  90|  30|  15|  40|  20|  15|CUTE CHARM  |-------     |
175|TOGEPI       |NORMAL           |  35|  20|  65|  40|  65|  20|HUSTLE      |SERENE GRACE|TM09 (common), ESCAPE ROPE (rare)
176|TOGETIC      |NORMAL/FLYING    |  55|  40|  85|  80| 105|  40|HUSTLE      |SERENE GRACE|ASPEAR BERRY (common)
177|NATU         |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|SYNCHRONIZE |EARLY BIRD  |HYPER POTION (rare)
178|XATU         |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|SYNCHRONIZE |EARLY BIRD  |TM04 (common), KING’S ROCK (rare)
179|MAREEP       |ELECTRIC         |  55|  40|  40|  65|  45|  35|STATIC      |-------     |
180|FLAAFFY      |ELECTRIC         |  70|  55|  55|  80|  60|  45|STATIC      |-------     |
181|AMPHAROS     |ELECTRIC         |  90|  75|  75| 115|  90|  55|STATIC      |-------     |SACRED ASH (rare)
182|BELLOSSOM    |GRASS            |  75|  80|  85|  90| 100|  50|CHLOROPHYLL |-------     |TM45 (rare)
183|MARILL       |WATER            |  70|  20|  50|  20|  50|  40|THICK FAT   |HUGE POWER  |DRAGON FANG (common), ICE HEAL (rare)
184|AZUMARILL    |WATER            | 100|  50|  80|  50|  80|  50|THICK FAT   |HUGE POWER  |SHOAL SALT (common)
185|SUDOWOODO    |ROCK             |  70| 100| 115|  30|  65|  30|STURDY      |ROCK HEAD   |
186|POLITOED     |WATER            |  90|  75|  75|  90| 100|  70|WATER ABSORB|DAMP        |
187|HOPPIP       |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|CHLOROPHYLL |-------     |ELIXIR (common)
188|SKIPLOOM     |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|CHLOROPHYLL |-------     |HARD STONE (rare)
189|JUMPLUFF     |GRASS/FLYING     |  75|  55|  70|  55|  85| 110|CHLOROPHYLL |-------     |
190|AIPOM        |NORMAL           |  55|  70|  55|  40|  55|  85|RUN AWAY    |PICKUP      |LUCKY EGG (common)
191|SUNKERN      |GRASS            |  30|  30|  30|  30|  30|  30|CHLOROPHYLL |-------     |
192|SUNFLORA     |GRASS            |  75|  75|  55| 105|  85|  30|CHLOROPHYLL |-------     |LUM BERRY (rare)
193|YANMA        |BUG/FLYING       |  65|  65|  45|  75|  45|  95|SPEED BOOST |COMPOUNDEYES|
194|WOOPER       |WATER/GROUND     |  55|  45|  45|  25|  25|  15|DAMP        |WATER ABSORB|
195|QUAGSIRE     |WATER/GROUND     |  95|  85|  85|  65|  65|  35|DAMP        |WATER ABSORB|
196|ESPEON       |PSYCHIC          |  65|  65|  60| 130|  95| 110|SYNCHRONIZE |-------     |TM30 (common), TM29 (rare)
197|UMBREON      |DARK             |  95|  65| 110|  60| 130|  65|SYNCHRONIZE |-------     |
198|MURKROW      |DARK/FLYING      |  60|  85|  42|  85|  42|  91|INSOMNIA    |-------     |
199|SLOWKING     |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|OBLIVIOUS   |OWN TEMPO   |TM45 (rare)
200|MISDREAVUS   |GHOST            |  60|  60|  60|  85|  85|  85|LEVITATE    |-------     |TM48 (common)
201|UNOWN        |PSYCHIC          |  48|  72|  48|  72|  48|  48|LEVITATE    |-------     |CHOICE BAND (common)
202|WOBBUFFET    |PSYCHIC          | 190|  33|  58|  33|  58|  33|SHADOW TAG  |-------     |ANTIDOTE (common)
203|GIRAFARIG    |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|INNER FOCUS |EARLY BIRD  |
204|PINECO       |BUG              |  50|  65|  90|  35|  35|  15|STURDY      |-------     |FULL HEAL (100%)
205|FORRETRESS   |BUG/STEEL        |  75|  90| 140|  60|  60|  40|STURDY      |-------     |
206|DUNSPARCE    |NORMAL           | 100|  70|  70|  65|  65|  45|SERENE GRACE|RUN AWAY    |CALCIUM (common)
207|GLIGAR       |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|HYPER CUTTER|SAND VEIL   |
208|STEELIX      |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|ROCK HEAD   |STURDY      |TM02 (common), TM44 (rare)
209|SNUBBULL     |NORMAL           |  60|  80|  50|  40|  40|  30|INTIMIDATE  |RUN AWAY    |TM28 (common)
210|GRANBULL     |NORMAL           |  90| 120|  75|  60|  60|  45|INTIMIDATE  |--          |
211|QWILFISH     |WATER/POISON     |  65|  95|  75|  55|  55|  85|POISON POINT|SWIFT SWIM  |
212|SCIZOR       |BUG/STEEL        |  70| 130| 100|  55|  80|  65|SWARM       |-------     |DIRE HIT (100%)
213|SHUCKLE      |BUG/ROCK         |  20|  10| 230|  10| 230|   5|STURDY      |-------     |MYSTIC WATER (100%)
214|HERACROSS    |BUG/FIGHTING     |  80| 125|  75|  40|  95|  85|SWARM       |GUTS        |EXP. SHARE (rare)
215|SNEASEL      |DARK/ICE         |  55|  95|  55|  35|  75| 115|INNER FOCUS |KEEN EYE    |MOOMOO MILK (common)
216|TEDDIURSA    |NORMAL           |  60|  80|  50|  50|  50|  40|PICKUP      |-------     |TM44 (rare)
217|URSARING     |NORMAL           |  90| 130|  75|  75|  75|  55|GUTS        |-------     |RAWST BERRY (common)
218|SLUGMA       |FIRE             |  40|  40|  40|  70|  40|  20|MAGMA ARMOR |FLAME BODY  |
219|MAGCARGO     |FIRE/ROCK        |  50|  50| 120|  80|  80|  30|MAGMA ARMOR |FLAME BODY  |SILVERPOWDER (rare)
220|SWINUB       |ICE/GROUND       |  50|  50|  40|  30|  30|  50|OBLIVIOUS   |-------     |
221|PILOSWINE    |ICE/GROUND       | 100| 100|  80|  60|  60|  50|OBLIVIOUS   |-------     |
222|CORSOLA      |WATER/ROCK       |  55|  55|  85|  65|  85|  35|HUSTLE      |NATURAL CURE|
223|REMORAID     |WATER            |  35|  65|  35|  65|  35|  65|HUSTLE      |-------     |MAX POTION (rare)
224|OCTILLERY    |WATER            |  75| 105|  75| 105|  75|  45|SUCTION CUPS|-------     |AMULET COIN (rare)
225|DELIBIRD     |ICE/FLYING       |  45|  55|  45|  65|  45|  75|VITAL SPIRIT|HUSTLE      |
226|MANTINE      |WATER/FLYING     |  65|  40|  70|  80| 140|  70|SWIFT SWIM  |WATER ABSORB|TM47 (common)
227|SKARMORY     |STEEL/FLYING     |  65|  80| 140|  40|  70|  70|KEEN EYE    |STURDY      |HARD STONE (common)
